Place    GN ID    Geonames Lon    Geonames Lat    Fantasy Name?
Amsterdam    2759794    4.88969    52.37403    No
Annecy    3037543    6.11667    45.9    No
Antwerp    2803138    4.40346    51.21989    No
Athens    264371    23.71622    37.97945    No
Augsburg    2954172    10.88333    48.36667    No
Au Parnasse                Yes
Avignon    3035681    4.80892    43.94834    No
Barcelona    3128760    2.15899    41.38879    No
Basel    2661604    7.57327    47.5584    No
Beijing    1816670    116.39723    39.9075    No
Berlin    2950159    13.41053    52.52437    No
Bern    2661552    7.44744    46.94809    No
Besançon    3033123    6.01815    47.24878    No
Bonn    2946447    7.09548    50.73438    No
Bordeaux    3031582    -0.5805    44.84044    No
Bouillon    2801283    5.06704    49.79324    No
Brescia    3181554    10.22727    45.52478    No
Bruges    2800931    3.22424    51.20892    No
Brussels    2800866    4.34878    50.85045    No
Caen    3029241    -0.35912    49.18585    No
Castres    3028263    2.25    43.6    No
Chalon-sur-Saône    3027484    4.85    46.78333    No
Clermont-Ferrand    3024635    3.08628    45.77966    No
Colmar    3024297    7.36667    48.08333    No
Concordopolis                Yes
Copenhagen    2618425    12.56553    55.67594    No
Dijon    3021372    5.01667    47.31667    No
Dordrecht    2756669    4.67361    51.81    No
Dresden    2935022    13.73832    51.05089    No
Dublin    2964574    -6.24889    53.33306    No
Du Séjour de la Vérité                Yes
Edinburgh    2650225    -3.19648    55.95206    No
Europe    6255148    9.14062    48.69096    No
Ferney-Voltaire    3018679    6.11063    46.25858    No
Ferrara    3177090    11.62071    44.82678    No
Florence    3176959    11.25    43.76667    No
Frankfurt am Main    2925533    8.68417    50.11552    No
Geneva    2660646    6.14569    46.20222    No
Genova    3176219    8.93386    44.40632    No
Glasgow    2648579    -4.25763    55.86515    No
Gotha    2918752    10.70193    50.94823    No
Halle    2911522    12    51.5    No
Hamburg    2911298    10.01534    53.57532    No
Istanbul    745044    28.94966    41.01384    No
Kehl    2891951    7.81523    48.57297    No
Köln    2886242    6.95    50.93333    No
Kraków    3094802    19.93658    50.06143    No
Lausanne    2659994    6.63282    46.516    No
Leiden    2751773    4.49306    52.15833    No
Leipzig    2879139    12.37129    51.33962    No
Levallois-Perret    2998975    2.28864    48.89389    No
Liège    2792413    5.56749    50.63373    No
Lille    2998324    3.05858    50.63297    No
Lisbon    2267057    -9.13333    38.71667    No
London    2643743    -0.12574    51.50853    No
Lyon    2996944    4.84671    45.74846    No
Maastricht    2751283    5.68889    50.84833    No
Madrid    3117735    -3.70256    40.4165    No
Mannheim    2873891    8.47955    49.49671    No
Marseille    2995469    5.38107    43.29695    No
Memphis                Yes
Metz    2994160    6.17269    49.11911    No
Milan    3173435    9.18951    45.46427    No
Montauban    2993002    1.35    44.01667    No
München    2867714    11.57549    48.13743    No
Naples    3172394    14.25    40.83333    No
Neuchâtel    2659496    6.931    46.99179    No
Noyon    2989877    3    49.58333    No
Nürnberg    2861650    11.07752    49.45421    No
Padua    3171728    11.88181    45.41519    No
Palermo    2523920    13.35976    38.11582    No
Paris    2988507    2.3488    48.85341    No
Parma    3171457    10.32898    44.80266    No
Pisa    3170647    10.39659    43.71553    No
Potsdam    2852458    13.06566    52.39886    No
Provins    2985229    3.3    48.55    No
Reims    2984114    4.03333    49.25    No
Rome    3169070    12.4839    41.89474    No
Rostock    2844588    12.14049    54.0887    No
Rotterdam    2747891    4.47917    51.9225    No
Rouen    2982652    1.09932    49.44313    No
Satyricomanie                Yes
Siéclopolie                Yes
Stockholm    2673730    18.0649    59.33258    No
Strasbourg    2973783    7.74296    48.58342    No
Switzerland    2658434    47.00016    8.01427    No
Syberie    2016590    100    60    No
The Hague    2747373    4.29861    52.07667    No
The Netherlands    2750405    5.75    52.5    No
Toulon    2972328    5.93333    43.11667    No
Toulouse    2972315    1.44367    43.60426    No
Tournay    2972248    0.24454    43.18438    No
Trivia                Yes
Utrecht    2745912    5.12222    52.09083    No
Valognes    2970860    -1.47047    49.50881    No
Venice    3164603    12.32667    45.43861    No
Warsaw    756135    21.01178    52.22977    No
Wien    2761369    16.37208    48.20849    No
Wrocław    3081368    17.03333    51.1    No
Zweibrücken    2803620    7.36977    49.24686    No
